高级算法工程师【讯飞正编】,北京-海淀区,20-35k·14薪,1-3年,统招本科,安徽百得思维,互联网,2000-5000人,,https://www.liepin.com/job/1963674163.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_63674163%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=29&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=29
广告平台-算法工程师（商家端方向）,北京,20-35k·15薪,经验不限,硕士,美团,生活服务,港股上市,10000人以上,https://www.liepin.com/job/1962077347.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_62077347%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=30&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=30
内容安全风控NLP算法工程师,北京,55-60k·15薪,5-10年,统招本科,某北京大型互联网公司,互联网,不需要融资,10000人以上,https://www.liepin.com/a/51411107.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_51411107%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=31&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=31
内容安全风控NLP算法工程师,北京,65-70k,5-10年,统招本科,某北京大型电子商务公司,电子商务,融资未公开,5000-10000人,https://www.liepin.com/a/51411231.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_51411231%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=32&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=32
NLP算法工程师,北京-海淀区,30-60k,5-10年,硕士,某北京大型在线教育公司,在线教育,D轮及以上,10000人以上,https://www.liepin.com/a/50917373.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_50917373%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=33&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=33
广告算法工程师/专家-P6-P8岗（知名上市集团）,北京,50-80k·16薪,经验不限,硕士,某北京互联网上市公司,互联网,已上市,10000人以上,https://www.liepin.com/a/50587739.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_50587739%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=34&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=34
算法工程师,北京-东城区,60-90k,3-5年,统招本科,某知名上市公司,机械/设备,已上市,2000-5000人,https://www.liepin.com/a/50450277.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_50450277%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=35&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=35
机器学习工程师【实习】,北京,3-6k,经验不限,本科,美团,生活服务,港股上市,10000人以上,https://www.liepin.com/job/1964031289.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_64031289%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=36&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=36
NLP算法工程师,北京,40-60k·15薪,3-5年,统招本科,某北京人工智能公司,人工智能,天使轮,50-99人,https://www.liepin.com/a/49609731.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_49609731%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=37&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=37
AI测试开发工程师,北京-西城区,30-40k·14薪,3-5年,统招本科,某北京计算机软件公司,计算机软件,C轮,100-499人,https://www.liepin.com/a/50430377.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_50430377%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=38&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=38
人工智能岗,北京-大兴区,20-30k·15薪,5-10年,统招本科,雄安人力公司,人力资源服务,,,https://www.liepin.com/job/1962021021.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_62021021%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=39&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=39
数据挖掘,北京,30-60k,经验不限,统招本科,某知名公司,专业技术服务,战略融资,1-49人,https://www.liepin.com/a/52027455.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_52027455%3A1%3Af1f6b722-eb2b-4291-b3d4-4e2386fa0dd2&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=0&skId=f9o62b7dtrf4r523isa8sxiknez0drtb&fkId=f9o62b7dtrf4r523isa8sxiknez0drtb&ckId=f9o62b7dtrf4r523isa8sxiknez0drtb&sfrom=search_job_pc&curPage=0&pageSize=40&index=0
数据挖掘算法工程师,北京-朝阳区,30-60k·13薪,3-5年,硕士,西安博锐森自动化信息技术有限公司,制药,50-99人,,https://www.liepin.com/job/1949084697.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_49084697%3A1%3Af1f6b722-eb2b-4291-b3d4-4e2386fa0dd2&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=1&skId=f9o62b7dtrf4r523isa8sxiknez0drtb&fkId=f9o62b7dtrf4r523isa8sxiknez0drtb&ckId=f9o62b7dtrf4r523isa8sxiknez0drtb&sfrom=search_job_pc&curPage=0&pageSize=40&index=1
数据挖掘/数据分析工程师,北京,25-50k·15薪,3-5年,本科,北京奇元科技有限公司,互联网,1000-2000人,,https://www.liepin.com/job/1925578863.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_25578863%3A1%3Af1f6b722-eb2b-4291-b3d4-4e2386fa0dd2&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=2&skId=f9o62b7dtrf4r523isa8sxiknez0drtb&fkId=f9o62b7dtrf4r523isa8sxiknez0drtb&ckId=f9o62b7dtrf4r523isa8sxiknez0drtb&sfrom=search_job_pc&curPage=0&pageSize=40&index=2
